Projeto;;;;;;;;;;
Monitorar;;;;;;;;;;
07-25-2025 18:12:28;;;;;;;;;;
Componente;Propriedade;Valor;Alterar após Trap;Amostragem;Intervalo de amostragem;Registro;Tamanho do buffer;Estado;Determinar;Propagar estado
10.235.0.253 - Protocolos - Protocolo SNMP V3;Desvio Padrão;2;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo SNMP V3;Tempo de resposta médio de movimentação;0;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo SNMP V3;Tempo de Resposta Médio;19;false;true;30 Segundos;false;0;Sem Estado;false;true
10.235.0.253 - Protocolos - Protocolo SNMP V3;Detectado;Sim;true;true;2 Horas;false;0;OK;true;true
192.168.21.1;Arquivo de Configuração;"
!Current Configuration:
!
!Parameter string escape handling \, 1
!Characters to be preceded with escape char (\): \, !, "", ', ?

!System Description ""AFR677""
!System Version AL3-08.0.09 Build: 2015-04-07 04:58
!Pre-login banner

set pre-login-banner text ""-----------VALE-BRSLZ4-FERROVIA-NOTICE------------------\\n*******************ATENCAO*************************\\nIMPORTANTE: EQUIPAMENTO DE USO RESTRITO!!!! \\nACESSO SOMENTE POR PESSOAS AUTORIZADAS, COM LOG DE EVENTOS GRAVADOS.\\nRAMAL DE SUPORTE: 956-3622/3623"" 

vlan database
vlan  6 
vlan  10 
vlan  15 
vlan  20 
vlan  30 
vlan  40 
exit 

network protocol none
network parms 192.168.0.10 255.255.255.0 0.0.0.0
!RMA operation
!RMA entry
ip https server
ip ssh
ip ssh protocol 2  


configure 

snmp-server sysname ""ROUTER_CCO   ""
snmp-server location ""CCO""
snmp-server contact ""HITACHI ENERGY BRASIL""
!


interface  1/1 
name ""REDE 660""
no auto-negotiate

no spanning-tree port mode

routing
ip address  10.0.0.1  255.255.255.240
ip irdp 
exit


interface  1/2 
name ""DIR ROUTER TFPM""

no spanning-tree port mode

vlan tagging 1 
routing
ip address  10.0.1.2  255.255.255.252
ip irdp 
exit


interface  1/3 
cable-crossing enable
no auto-negotiate
speed 100 full-duplex
shutdown

no spanning-tree port mode

ip irdp 
exit


interface  1/4 
cable-crossing enable
no auto-negotiate
speed 100 full-duplex
shutdown

no spanning-tree port mode

ip irdp 
exit


interface  1/5 
name ""REDE N VITAL CCO""
storm-control ingress-limit 49971
storm-control broadcast 500000
storm-control egress-limit 49950

no spanning-tree port mode

routing
ip address  10.222.0.254  255.255.0.0
ip irdp 
exit


interface  1/6 
no auto-negotiate
speed 100 full-duplex
shutdown

no spanning-tree port mode

ip irdp 
exit


interface  1/7 
name ""Micro Gerencia""
cable-crossing enable
no auto-negotiate
speed 100 full-duplex

no spanning-tree port mode

routing
ip address  192.168.20.1  255.255.255.0
ip irdp 
exit


interface  1/8 
cable-crossing enable
no auto-negotiate
speed 100 full-duplex
shutdown

no spanning-tree port mode

vlan participation auto 1 
ip irdp 
exit


interface  1/9 
name ""TREINAMENTO""
no auto-negotiate
no lldp med
speed 100 full-duplex

no spanning-tree port mode

routing
ip address  10.10.20.253  255.255.255.0
ip irdp 
exit


interface  1/10 
name ""NOZOMI - ANALISE ""
no auto-negotiate
shutdown

no spanning-tree port mode

ip irdp 
exit


interface  1/11 
name ""CANCELA 1S""
cable-crossing enable
no auto-negotiate
no lldp med
speed 100 full-duplex

no spanning-tree port mode

vlan pvid 6 
vlan participation auto 1 
vlan participation include 6 
vlan participation include 15 
vlan tagging 15 
routing
ip address  10.6.1.254  255.255.255.0
ip address  192.168.15.254  255.255.255.0  secondary
ip irdp 
exit


interface  1/12 
name ""AFS EFC P5  VITAL""

no spanning-tree port mode

vlan participation auto 1 
routing
ip address  10.101.0.252  255.255.0.0
ip vrrp 1 
ip vrrp 1 mode 
ip vrrp 1 ip 10.101.0.254
ip vrrp 1 priority 200
ip irdp 
exit


interface  1/13 
name ""AFS EFC P6 N VITAL""

no spanning-tree port mode

vlan participation auto 1 
routing
ip address  10.201.0.254  255.255.0.0
ip irdp 
exit


interface  1/14 
name ""AFS EFC P7 TELEMETRI""
no auto-negotiate
no lldp med
speed 100 full-duplex

no spanning-tree port mode

vlan participation auto 1 
routing
ip address  10.231.0.254  255.255.0.0
ip vrrp 3 
ip vrrp 3 ip 10.231.0.254
ip irdp 
exit


interface  1/15 
name ""AFS EFC P8 VOIP""
no auto-negotiate
no lldp med
speed 100 full-duplex

no spanning-tree port mode

vlan participation auto 1 
routing
ip address  10.2.1.253  255.255.255.0
ip vrrp 5 
ip vrrp 5 mode 
ip vrrp 5 ip 10.2.1.1
ip vrrp 5 priority 200
ip irdp 
exit


interface  1/16 
name ""AFS CCO EFC P10 GER""
no auto-negotiate
no lldp med
speed 100 full-duplex

no spanning-tree port mode

routing
ip address  192.168.21.1  255.255.255.0
ip irdp 
exit

snmptrap 0 192.168.20.100
snmptrap EFC 192.168.12.10

!Address Conflict Detection
address-conflict detection-mode enable

!Bridge Address Learning

!Maximum size of frame (packet size)
bridge framesize 1552

!Bridge Address Relearn Detection

!Bridge Address Relearn Threshold

!Bridge Duplex Mismatch Detection

!VLAN Learning


!ABB DHCP Relay

!ABB Device Status
device-status monitor connection-error error
device-status monitor ring error
device-status monitor temperature error
device-status trap enable


!DHCP Server
!DHCP Server pools


!Mac Notification Global State

!Power over Ethernet (IEEE 802.3af)
inlinepower admin-mode disable

!IEC61850 MMS Server

!Selftest

!Skip CRA on boot

!E-MRP
e-mrp new-id default-id
e-mrp current-id vlan 1

!Sub-Ring
!No Sub-Ring ID exist.

!LLDP (IEEE802.1AB Link Layer Discovery Protocol)


!Media Redundancy Protocol (IEC 62439-2/Ed1.0, MRP)
!No MRP domains exist.

!Advanced Ring Configuration and Diagnostics


!No entries in alarm table

!MAC/IP Based Port Security


!Port Monitor


!Auto Disable


!ABB Precision Time Protocol (PTP, IEEE 1588)
ptp v2bc utc-offset 34

!ABB Ring Coupling
!Note: master/slave (also for single) part of configuration determined by
!      management

!ABB Signal Contacts
signal-contact 1 mode auto
signal-contact 1 monitor connection-error enable
signal-contact 1 monitor ring enable
signal-contact 1 monitor temperature enable
signal-contact 1 trap enable


!ABB SNMP Access Control


!SNTP
sntp client accept-broadcast off
sntp client request-interval 3600
sntp client offset -180
sntp client server primary 192.168.20.133
sntp operation on
sntp operation server off


!ABB Broadcast Limiter
storm-control broadcast
storm-control egress-limiting enable
storm-control ingress-limiting enable


!ABB Temperature Limit Settings

ip routing

ip route 192.168.24.0 255.255.255.0 10.0.0.4 
ip route 192.168.47.0 255.255.255.0 10.0.1.1 
ip route 192.168.25.0 255.255.255.0 10.0.0.5 
ip route 192.168.22.0 255.255.255.0 10.0.0.2 
ip route 192.168.23.0 255.255.255.0 10.0.0.3 
ip route 10.223.0.0 255.255.0.0 10.0.0.4 
ip route 192.168.48.0 255.255.255.0 10.0.1.1 
ip route 10.221.7.0 255.255.255.0 10.0.0.7 
ip route 192.168.41.0 255.255.255.0 10.0.1.1 
ip route 10.2.2.0 255.255.255.0 10.0.0.2 
ip route 10.202.0.0 255.255.0.0 10.0.0.2 
ip route 10.102.0.0 255.255.0.0 10.0.0.2 
ip route 10.2.5.0 255.255.255.0 10.0.0.5 
ip route 10.205.0.0 255.255.0.0 10.0.0.5 
ip route 192.168.13.0 255.255.255.0 10.222.0.51 
ip route 10.203.0.0 255.255.0.0 10.0.0.3 
ip route 10.204.0.0 255.255.0.0 10.0.0.4 
ip route 10.2.3.0 255.255.255.0 10.0.0.3 
ip route 192.168.27.0 255.255.255.0 10.0.1.1 
ip route 10.2.4.0 255.255.255.0 10.0.0.4  track 15
ip route 10.2.6.0 255.255.255.0 10.0.0.6 
ip route 10.2.4.0 255.255.255.0 10.0.0.5 2
ip route 10.101.0.0 255.255.0.0 10.0.0.2 
ip route 10.10.1.0 255.255.255.0 10.0.1.1 
ip route 192.168.26.0 255.255.255.0 10.0.0.6 
ip route 10.2.7.0 255.255.255.0 10.0.1.1 
ip route 10.206.0.0 255.255.0.0 10.0.0.6 
ip route 192.168.30.0 255.255.255.0 192.168.20.254 
ip route 10.3.1.0 255.255.255.0 192.168.20.254 
ip route 10.3.2.0 255.255.255.0 192.168.20.254 
ip route 10.3.3.0 255.255.255.0 192.168.20.254 
ip route 10.3.4.0 255.255.255.0 192.168.20.254 
ip route 10.3.5.0 255.255.255.0 192.168.20.254 
ip route 10.3.6.0 255.255.255.0 192.168.20.254 
ip route 192.168.28.0 255.255.255.0 10.0.0.7 
ip route 192.168.29.0 255.255.255.0 10.0.0.9 
ip route 10.4.0.0 255.255.255.0 192.168.20.215 
ip route 10.4.1.0 255.255.255.0 192.168.20.215 
ip route 10.4.2.0 255.255.255.0 192.168.20.215 
ip route 10.4.3.0 255.255.255.0 192.168.20.215 
ip route 10.4.4.0 255.255.255.0 192.168.20.215 
ip route 10.4.5.0 255.255.255.0 192.168.20.215 
ip route 10.221.0.0 255.255.255.0 10.0.1.1 
ip route 10.207.0.0 255.255.0.0 10.0.0.7 
ip route 10.2.8.0 255.255.255.0 10.0.0.7 
ip route 192.168.25.110 255.255.255.255 10.0.0.9 
ip route 10.232.0.0 255.255.0.0 10.0.0.2 
ip route 10.233.0.0 255.255.0.0 10.0.0.3 
ip route 10.234.0.0 255.255.0.0 10.0.0.4 
ip route 10.235.0.0 255.255.0.0 10.0.0.5 
ip route 10.236.0.0 255.255.0.0 10.0.0.6 
ip route 10.239.0.0 255.255.0.0 10.0.0.9 
ip route 10.237.0.0 255.255.0.0 10.0.1.1 
ip route 10.10.10.0 255.255.255.0 10.0.0.7 
ip route 192.168.61.0 255.255.255.0 10.0.1.1 
ip route 10.6.5.0 255.255.255.0 10.0.0.5 
ip route 192.168.55.0 255.255.255.0 10.0.0.5 
ip route 192.168.12.0 255.255.255.0 10.222.0.51 
ip route 172.31.64.14 255.255.255.255 10.222.0.51 
ip route 10.6.4.0 255.255.255.0 10.0.0.4 
ip route 10.6.6.0 255.255.255.0 10.0.0.6 
ip route 192.168.45.0 255.255.255.0 10.0.0.4 
ip route 10.6.3.0 255.255.255.0 10.0.0.3 
ip route 192.168.35.0 255.255.255.0 10.0.0.3 
ip route 172.29.182.0 255.255.255.0 10.222.0.51 
ip route 10.6.7.0 255.255.255.0 10.0.1.1 
ip route 10.192.30.0 255.255.255.0 10.222.0.51 
ip route 192.168.75.0 255.255.255.0 10.0.1.1 
ip route 10.5.1.0 255.255.255.0 192.168.20.215 
ip route 10.5.2.0 255.255.255.0 192.168.20.215 
ip route 10.5.4.0 255.255.255.0 192.168.20.215 
ip route 10.5.5.0 255.255.255.0 192.168.20.215 
ip route 10.5.6.0 255.255.255.0 192.168.20.215 
ip route 10.192.22.0 255.255.255.0 10.222.0.51 

users passwd admin :v1::
users snmpv3 authentication admin md5
users snmpv3 encryption admin des :v1::
users passwd user :v1::
users snmpv3 authentication user md5
users snmpv3 encryption user des :v1::
users name localadm
users passwd localadm :v1::
users access localadm readwrite
authentication login VALETACPLUS radius local reject
users login localadm defaultList
authorization network radius 
dot1x login localadm  radiuslist
radius accounting mode
radius server host auth 172.31.64.14 
radius server key auth 172.31.64.14 :v1::
radius server primary 172.31.64.14
radius server host acct 172.31.64.14 

monitor session 1 destination interface 1/10
monitor session 1 source interface 1/1 direction tx/rx
monitor session 1 mode

lineconfig
exit 

no spanning-tree
spanning-tree configuration name ""00-02-A3-03-35-00""
snmp-server community ""TelRoutercc0""
snmp-server community ""EFC""
!Tracking
track 1 interface 1/1 link-up-delay 1 
track 1 trap
track 2 interface 1/7 link-up-delay 1 
track 2 trap
track 3 interface 1/8 link-up-delay 1 
track 3 trap
track 4 interface 1/9 link-up-delay 1 
track 4 trap
track 5 interface 1/10 link-up-delay 1 
track 5 trap
track 6 interface 1/11 link-up-delay 1 
track 6 trap
track 7 interface 1/12 link-up-delay 1 
track 7 trap
track 8 interface 1/13 link-up-delay 1 
track 8 trap
track 9 interface 1/14 link-up-delay 1 
track 9 trap
track 10 interface 1/15 link-up-delay 1 
track 10 trap
track 11 interface 1/16 link-up-delay 1 
track 11 trap
track 14 ping 10.0.0.2 interface 1/1 
track 14 trap
track 15 ping 10.0.0.4 interface 1/1 
track 15 trap


!IGMP Snooping
router ospf 
exit

router rip 
split-horizon none
no auto-summary
update-timer 2
no hostroutesaccept
default-metric 3 
exit

ip vrrp
ip vrrp trap new-master

exit 
";true;true;1 Dias;false;0;Sem Estado;false;true
192.168.21.1;Assinatura de Configuração;1e f0 b3 95;true;true;1 Horas;false;0;Sem Estado;false;true
192.168.21.1;Estado da Configuração;Salvo;true;true;5 Minutos;false;0;OK;true;true
192.168.21.1;Temperatura;34;true;true;30 Segundos;false;0;OK;true;true
192.168.21.1 - Porta 12;Carga de Entrada;0.0;false;true;30 Segundos;true;100;OK;true;true
192.168.21.1 - Porta 12;Link;Ativo;true;true;30 Segundos;true;100;OK;true;true
